Age Group,,,,,,,,,,,,
,Labor Force (LF) by Age Group,,,,,,,,,,,
,Work,,,Total Unemployment,,,Total Labor Force,,,% Work / LF,,
,2011,,,2011,,,2011,,,2011,,
,February,August,Yearly,February,August,Yearly,February,August,Yearly,February,August,Yearly
15-19,5278950,5564282,-,2254141,2637817,-,7533091,8202099,-,70.08,67.84,-
20-24,11799164,10848805,-,2950010,2213178,-,14749174,13061983,-,80,83.06,-
25-29,14870138,13892058,-,1270764,1232346,-,16140902,15124404,-,92.13,91.85,-
30-34,15319730,14830175,-,648838,703038,-,15968568,15533213,-,95.94,95.47,-
35-39,14805537,14063872,-,368168,463341,-,15173705,14527213,-,97.57,96.81,-
40-44,13664067,13279151,-,297844,403785,-,13961911,13682936,-,97.87,97.05,-
45-49,11693945,11146010,-,255877,261810,-,11949822,11407820,-,97.86,97.7,-
50-54,9261042,9243992,-,164015,219710,-,9425057,9463702,-,98.26,97.68,-
55-59,6393838,6212683,-,112298,206252,-,6506136,6418935,-,98.27,96.79,-
60+,8959468,8335281,-,57927,340115,-,9017395,8675396,-,99.36,96.08,-
Total,112045879,107416309,-,8379882,8681392,-,120425761,116097701,-,93.04,92.52,-
